Year	Month	Day	AccomodationTiranePricePerNight	AccomodationTiraneAvailability	AccomodationTiraneMinLengthOfStay	AccomodationTiraneApartment Options	
2024    3       15      5.0                                1                                 2                                    Essenziali	
2024    3       16      5.0                                1                                 2                                    Essenziali	
2024    3       17      5.0                                1                                 2                                    Essenziali	
2024    3       18      5.0                                1                                 2                                    Essenziali	
2024    3       19      5.0                                1                                 2                                    Essenziali	
2024    3       20      5.0                                1                                 2                                    Essenziali	
2024    3       21      5.0                                1                                 2                                    Essenziali	
2024    3       22      5.0                                1                                 2                                    Essenziali	
2024    3       23      5.0                                1                                 2                                    Essenziali	
2024    3       24      5.0                                1                                 2                                    Essenziali	
2024    3       25      5.0                                1                                 2                                    Essenziali	
2024    3       26      5.0                                1                                 2                                    Essenziali	
2024    3       27      5.0                                1                                 2                                    Essenziali	
2024    3       28      5.0                                1                                 2                                    Essenziali	
2024    3       29      5.0                                1                                 2                                    Essenziali	
2024    3       30      5.0                                1                                 2                                    Essenziali	
2024    3       31      5.0                                1                                 2                                    Essenziali	
2024    4       3       0.0                                1                                 6                                    Essenziali	
2024    4       4       0.0                                1                                 6                                    Essenziali	
2024    4       5       0.0                                1                                 6                                    Essenziali	
2024    4       6       0.0                                1                                 6                                    Essenziali	
2024    4       7       0.0                                1                                 6                                    Essenziali	
2024    4       8       0.0                                1                                 6                                    Essenziali	
2024    4       9       0.0                                1                                 6                                    Essenziali	
2024    4       18      0.0                                1                                 1                                    Essenziali	
2024    4       19      0.0                                1                                 1                                    Essenziali	
2024    4       22      5.0                                1                                 2                                    Essenziali	
2024    4       23      5.0                                1                                 2                                    Essenziali	
2024    4       26      5.0                                1                                 2                                    Essenziali	
2024    4       27      5.0                                1                                 2                                    Essenziali	
2024    4       28      5.0                                1                                 2                                    Essenziali	
2024    4       29      5.0                                1                                 2                                    Essenziali	
2024    4       30      5.0                                1                                 2                                    Essenziali	
2024    5       1       5.0                                1                                 2                                    Essenziali	
2024    5       2       5.0                                1                                 2                                    Essenziali	
2024    5       3       5.0                                1                                 2                                    Essenziali	
2024    5       4       5.0                                1                                 2                                    Essenziali	
2024    5       5       5.0                                1                                 2                                    Essenziali	
2024    5       6       5.0                                1                                 2                                    Essenziali	
2024    5       7       5.0                                1                                 2                                    Essenziali	
2024    5       8       5.0                                1                                 2                                    Essenziali	
2024    5       9       5.0                                1                                 2                                    Essenziali	
2024    5       10      5.0                                1                                 2                                    Essenziali	
2024    5       11      5.0                                1                                 2                                    Essenziali	
2024    5       12      5.0                                1                                 2                                    Essenziali	
2024    5       13      5.0                                1                                 2                                    Essenziali	
2024    5       14      5.0                                1                                 2                                    Essenziali	
2024    5       15      5.0                                1                                 2                                    Essenziali	
2024    5       16      5.0                                1                                 2                                    Essenziali	
2024    5       17      5.0                                1                                 2                                    Essenziali	
2024    5       18      5.0                                1                                 2                                    Essenziali	
2024    5       19      5.0                                1                                 2                                    Essenziali	
2024    5       20      5.0                                1                                 2                                    Essenziali	
2024    5       21      5.0                                1                                 2                                    Essenziali	
2024    5       22      5.0                                1                                 2                                    Essenziali	
2024    5       23      5.0                                1                                 2                                    Essenziali	
2024    5       24      5.0                                1                                 2                                    Essenziali	
2024    5       25      5.0                                1                                 2                                    Essenziali	
2024    5       26      5.0                                1                                 2                                    Essenziali	
2024    5       27      5.0                                1                                 2                                    Essenziali	
2024    5       28      5.0                                1                                 2                                    Essenziali	
2024    5       29      5.0                                1                                 2                                    Essenziali	
2024    5       30      5.0                                1                                 2                                    Essenziali	
2024    5       31      5.0                                1                                 2                                    Essenziali	
2024    6       1       5.0                                1                                 2                                    Essenziali	
2024    6       2       5.0                                1                                 2                                    Essenziali	
2024    6       3       5.0                                1                                 2                                    Essenziali	
2024    6       4       5.0                                1                                 2                                    Essenziali	
2024    6       5       5.0                                1                                 2                                    Essenziali	
2024    6       6       5.0                                1                                 2                                    Essenziali	
2024    6       7       5.0                                1                                 2                                    Essenziali	
2024    6       8       5.0                                1                                 2                                    Essenziali	
2024    6       9       5.0                                1                                 2                                    Essenziali	
2024    6       10      5.0                                1                                 2                                    Essenziali	
2024    6       11      5.0                                1                                 2                                    Essenziali	
2024    6       12      5.0                                1                                 2                                    Essenziali	
2024    6       13      5.0                                1                                 2                                    Essenziali	
2024    6       14      5.0                                1                                 2                                    Essenziali	
2024    6       15      5.0                                1                                 2                                    Essenziali	
